text_slangwords,polarity
pesanan hilang ga tahu kemana pelayanan komplain sangat sangat lambat pengalaman pertama beli disini sangat tidak memuaskan dan sangat sangat sangat mengecewakan padahal pesanan saya payment sudah pakai tf biar tinggal nerima tapi ternyata pesanan bahkan ga sampai kerumah dikomplain sama sekali tidak membantu menyelesaikan permalasahannya slogannya tidak sesuai katanya aman dan amanah tapi nyatanya bodoh sangat sangat sangat menyesal sekali melakukan pembelian diecommerce ini,negatif
kenapa sekarang mau tarik hasil penjualan harus upgrade kegopay plus dulu kalau ga upgrade ga bisa ditarik begitu juga dengan refundnya panteslah kalau banyak yang lari ketoko sebelah karena sekarang lebih ribet dan susah terutama untuk penjual,negatif
kurir rekomendasi tokopedia sangat tidak rekomendasi memang disitu saya mendapat gratis ongkos kirim tapi untuk mendapatkan update tracking itu sangat lama barang yang saya pesan bisa stuck di provinsi yang sama jakarta lebih dari jam padahal pengiriman hanya ke jawa barat,negatif
sedih banget ga bisa checkout gara gara di batalin sama sistem padahal prosedur pembayaran sudah benar dan juga kupondiskonnya langsung hangus seketika ini juga mau pembayaran harus pakai pin mana loadingnya lama sering banget menit gagal load kouta masih ada sinyal juga bagus hesjan lama kelamaan ku hapus juga ini toko ini order juga dibatalin sistem terus kenapa to aku juga lama di pembayaran iya gara gara loading tolol itu capek aku,negatif
sejak ada kurir rekomendasi tokopedia jadi semakin jelek tolong dihilangkan saja kurir rekomendasi terutama untuk kurir sapx tidak perlu diajak kerjasama lagi karena x saya pesan semuanya terlambat padahal kiriman sama satu kota tapi seminggu lebih barang gak nyampe sampai ajuin komplen jadi nambah seminggu lagi diprosesnya kalau tokopedia terus begini bukan cuma seller yang rugi pembeli juga makin sepi dan tokopedia sendiri juga akan banyak ditinggalin pelanggan setianya terimakasih,negatif
jujur kalau masalah potongan harga sangat buruk sudah melakukan pembayaran sesuai prosedur tapi dibatalkan sistem kalau memang kuotanya terbatas seharusnya tidak perlu dipajang lagi diskon nya selalu dibatalkan sistem kecewa makanya saya ga pernah mau belanja non bayar ditempat di tokopedia karena selalu dibatalkan sistem mohon diperbaiki kembali agar masyarakat tertarik lagi menggunakan ecommerce tokopedia,negatif
saya pelanggan lama toped saya selalu berbelanja di toped karen banyak promo diskon namun akhirnya saya di kecewakan karena transaksi saya di batalkan oleh sistem dan saya sudah berusaha banding melalui chat admin namun tidak ada solusi seharusnya kalau memang transaksi akan di batalkan sistem dari pihak toped bisa menginfokan dari awal transaksi bukanya setelah melakukan trasfer yang akhirnya membuat uang kita mengendap di toped dan toped pun sekarang pengiranya lama apa lagi kalau pakai jne,negatif
saya mulai suka sama tokopedia belakangan ini karena pengirimannya cukup membutuhkan hari saja dan pas kaya estimasi sampai belum lagi terdapat diskon ongkos kirim yang sangat membantu terlebih saya suka top up di gopay terus tingkatkan kualitas toko hijau ini,positif
kalau memberikan promo besarbesaran itu iya konsisten dong ini bahkan pas sudah co dan bayar tibatiba dibatalin sistem karena katanya tidak memenuhi syarat dan ketentuan dan pas saya mau klaim vocher lagi tidak bisa aturannya bisa dong karena pesanan saya sudah dibatalkan perbaiki sistem kalian tokepedia asli bikin gak nyaman banget,negatif
saya baru buat akun tokped untuk pertama kalinya ada promo yang besar pas awal unduh aplikasi terus pas sudah dipesan tiba orderan di cancel sama aplikasi tanpa ada alasan jelas katanya terdapat dugaan manipulasi transaksi padahal saya baru pertama kali pesan disana pas mau pesan kedua kalinya promonyq sudah hilang jadinya malas mau order barang lagi berasa dimanipulasi l,negatif
saya beli sebagai pengguna pertama dapat promo lumayan eh ternyata pesanan saya dibatalkan sistem padahal sudah tf mengecewakan pas mau checkout ulang harga sudah naik iya karena bonus pengguna pertama terhitung hangus ngerasa dibohongi begitu lebih baik toko sebelah saja dech,negatif
jujur kalau buat aplikasinya itu nyaman diskon sama gratong nya juga lumayan gede tapi paling gak suka sama ekspedisinya gila saja hari ekspedisi gak update cuma disitu situ terus kantor ekspedisinya padahal jarak dari kantor kurirnya sampai rumah juga gak ada jam tapi sampai hari gak dikirim udahlah barangnya dateng melebihi estimasi tiba aku beli barang di tokped karena mendesak tapi datengnya pas sudah gak butuh sebel bangettt,negatif
make ini deh lama sayangnya selalu ada kendala oleh kurir si cepat pick up paket yang terlalu lama dan paket sampai tidak sesuai yang tercantum di app metode pembayaran lewat ewallet kurang tapi tidak apa-apa lah everything is good edit jadi bintang karena promo dan potongan harga kalau soal pengiriman masih sama lamanya bisa sampai hari tlg di tingkatkan lagi bagian pengiriman dn informasi pajet deh sampai mananya,positif
saya pengguna lama tokopedia kurir rekomendasi id express sangat mengecewakan paket mengendap hari di th cakung ga dikirim kirim pas sudah ajuin komplain langsung dikirim terus di paket nya ada tulisan urgent jadi kalau ga di komplainga akan dikirim itu paket tolong tokopedia lebih ketat memilih kurir rekomendasi kalau seperti ini terus saya pindah ke aplikasi lain,negatif
pesanan lebih minggu gak sampai eh taunya bahkan dibatalkan sistem dan yang lebih parah lagi refound dana kurang karena kita yang harus nanggung biaya ongkos kirim kan gila gak tuh kita sudah rugi waktu karena barang gak pernah sampai eh bahkan dibatalkan sistem dan menanggung biaya ongkos kirim,negatif
duluu sering belanja ditokopedia karena pengirimannya yang cepat tapi sekarang pengirimannya kok jadi makin lama yaa bahkan sering melebihi estimasi tiba semoga lebih jadi perhatian dari tokopedia mengenai hal pengiriman karena sebagai pembeli berasa sangat tidak nyaman sekali kalau status pengiriman yang bahkan status pengiriman kadang beberapa hari tidak update berubah,negatif
pesanan saya tiba² dibatalkan oleh sistem padahal dapat vocer gede giliran mau order ulang vocer diskonnya sudah hilang gabisa dipake lagi tiap pencet link dari affiliate selalu gagal dan gabisa dibuka aneh banget jadi merugikan affiliator kalau begitu buat apa ada program affiliate,negatif
aplikasi kayak ti tidak pernah download sebelumnya dan daftar tapi tiba checkout pertama kena pembatalan sistem dan semua voucher hilang gratis ongkos kirim juga waktu komplain pun tidak dapat solusi dan masalahnya ada di mana tidak tahu mau chat tokopedia care lagi juga sudah tidak bisa makanya ramean shopee daripada tokped kayak ti,negatif
saya pengguna baru tokped gak ada masalah sih sama app nya tapi kenapa tokped selalu milih kurir ekspedisi sapx padahal sapx sering banget bermasalah contoh di app jam pagi lagi dianter kurir tapi sampai besok nya gak dianter antar sampai berhari² di situ juga cmn ada keterangan nama kurir doang gk ada nomor nya padahal jarak nya lumayan deket kira² jam an lah beda sm ekspedisi lain,negatif
semakin hari pengiriman tidak jelas kirim di kota yang sama saja bisa sampai hari lebih tokopedia tolong ditindak lanjuti masalah pengiriman karena bisa merugikan penjual sekarang juga seenaknya hapus kupon saat transaksi kalau emang gabisa dipake iya jangan dipajang terlebih kurir rekomendasi bukannya cepat bahkan saling lempar antar ekspedisi awalnya di pickup pakai si cepat tapi lanjut ke jnesangat merugikan,negatif
padahal dulu mudah sekali sekarang rumit tiap cek out sering dibatalkan sistem biaya layanan tidak balik ribet harus tarik saldo lagi mohon diperbaiki sistemnya kalau tidak bisa kasih diskon iya jangan gini caranya,negatif
aplikasi e jual beli online terburuk saya sudah ajukan retur dari bulan yang lalu dana masih tertahan di tokped dengan alasan penjual mengajukan banding tidak ada ketegasan dari pihak tokopedia dan respon terhadap pelanggan sangat lama untuk pengguna lain tolong difikirkan ulang kalau mau transaksi di tokopedia masih ada aplikasi lain yang jauh lebih baik terimakasih tokopedia,negatif
aplikasi gak jelaspertama dapat promo ribu pas dipakai belanja bahkan ditolak sistem bagaimana sih keterangannya indikasi manipulasi masa sih kaya gitu benar benar gamau rugi ketika mau dipakai lagi promo nya hilangsama saja kaya mau tipu customer kalau kaya gitulebih baik un install saja aplikasi gak jelas macam gini,negatif
kurir rekomendasi nya lambat no resi nya ga bisa di trace oleh pihak ekspedisinya karena yang tertera hanya no resi kurir rekomendasi saja bukan no resi ekspedisinya sedkit promo nya dibanding toko oren,negatif
tolong di benerin iya kak waktu saya klik masukan keranjang error error terus harus di coba berkali kali baru bisa masuk ke keranjang dan itu sangat mengesalkan buang buang waktu tolong di benerin iya kak terima kasih,negatif
sistem tracking paketnya jelek banget barang sdh sampai tapi status pengiriman gak berubah jadi percuma ada fitur lacak trus slideshow gambar produk itu benar unfaedah lebih baik balikin fitur lama zoom in foto biar pengguna bisa lihat fotonya lebih detail tolong diperbaiki iya,negatif
toko pedia makin tidak jelas diskon diskon tapi pas di bayar di batalkan sistem kalau ga bisa memberikan promosi atau diskon ga perlu kebanyakan iklan buang buang ruang saja buat download tidak lagi deh pakai tokopedia makin se enak nya alesan sistem,positif
perbaiki lagi bisnis proses disistem kalian saat penjual kirim hitam kurang mereka ada yang sengaja ngirim kurang lalu tidak ada tombol untuk komplen barang kurang setelah sebelumnya sudah komplen barang kurang bikin pembeli jadi rugi satu lagi tutup juga fitur bikin penjual bisa punya banyak cabang saya sebagai konsumen milih barang di bandung sama penjual yang punya banyak cabang bahkan dikirim dari surabaya parah banget bagusan si orange,negatif
belanja di sini banyak yang murah sih apalagi tersedia kupon bonus dan lain-lain jadi tambah murah tapi ada ada hal yang sangat tidak layak yaitu jasa pengiriman menggunakan kurir rekomendasi beberapa kali beli menggunakan jasa kirim kurir rekomendasi dan datangnya paket selalu terlambat status pengiriman juga lama update nya hari gk ada update status pengiriman lebih baik hilangin saja itu fitur kurir rekomendasi,negatif
bagaimana kak pesanan saya belum sampai juga ngajuin pembatalan ga bisa udh chat tokonya di suruh mengajukan investigasi ekspedisi dari pihak tokped ga jelas memberikan solusinya tiba pesanan selesai tapi saya ga terima barang dan refund juga untungnya nominal barangnya ga terlalu mahal aduh kalau mahal bagaimana ini cukup sangat kecewa si dengan kejadian ini saya jadi ragu buat belanja apa lagi yang nominalnya lumayan,negatif
saya kecewa sama tokopedia di karenakan pengiriman pakai kurir rekomendasi yang entah sistem nya bagaimana saran dari saya baiknya kalau emang gratis ongkos kirim kita bisa milih ekspedisi nya apa masak yang pickup sicepat tapi yang kirim ekspedisi lain saya kecewa terimakasih,negatif
dulu tokopedia bagus pengiriman cepat kok akhir akhir ini pengiriman paket iya lamaya saya order barang paket nya belum sampai sampai sampai hari melebihi tenggat waktunya mohon tokopedia segera memperbaiki,negatif
jaman dulu barang di keranjang jika berlebih otomatis masuk wishlist sekarang ga ada fiturnya wishlist jumlah maksimal dibuat hapus otomatis saja dari yang terlama ga perlu klik minta hapus,negatif
sebelumnya saya pakai gratis ongkos kirim emang bagus hari sampaitp saya kecewa kali ini karena ternyata gratis ongkos kirim modelnya dilempar dr ekspedisi ke ekspedisi lain istilahnya nitipdan efeknya paket molor sudah hari belum ada update alias paket stuck tidak ada perubahandan sudah hampir minggu total waktu dr mulai checkoutmaaf bintang saya kurangijika metode gratis ongkos kirim harus korbanin lama pengirimansaya pribadi lebih prefer ke toko sebelah yang waktu pengirimannya selalu konsisten,negatif
sebetulnya belanja di tokped ini enak ada diskonnyatp kenapa pengirimannya lambat banget barang saya hari ga bergerak dari jawa tengahkdang juga tiba dibatalkan sistem atau dibatalkan penjual seenak jidattolong buang saja itu kurir rekomendasi kalau nyatanya bobrok semua isi ekspedisinya,negatif
bgus sihh cma terlalu banyak biaya tambahannya gratis ongkirny juga gk smuanya terlalu banyak biaya jasa biaya app dsb sama kenapa iya di tokped tidak bisa mencari barang dengan foto pdhl dengan foto lebih efisien mencari produk yang serupa,positif
untuk aplikasi sudah sangat bagus cuma yang disayangkan kenapa free ongkos kirim harus menggandeng sapx jelasjelas expedisi yang sangat sangat teramat tidak kompeten dalam bidang pengiriman beberapa kali barang saya mutermuter termasuk yang pesanan sekarang dari tanggal sampai sekarang ga nyampe bahkan dibawa mutermuter payah,negatif
saya pengguna baru tokopedia saat akan membeli produk terdapat potongan harga khusus untuk pengguna baru saat pesanan sudah di bayar tiba tiba transaksi terkena pembatalan oleh sistem dan saat akan melakukan pembayaran ulang diskon potongan harga sudah tidak tersedia padahal voucher belum terpakai akibat terkena pembatalan sudah sering tokopedia seperti ini memberikan tawaran isu bohong alias php soal potongan harga kepada pengguna baru dan selalu terkena pembatalan sistem sangat mengecewakan,negatif
agak kecewa sama tokopedia nya ada beberpa hal yang bikin tidak nyaman saat belanja yang pertama metode pembayaran bayar ditempat nya tidak seluruh indonesia hanya beberapa wilayah tertentu yang kedua exapedisi sicepat nya lambat kurang update paket sampai hari tidak ada update terbaru nya paket suka di tahan di gudang tidak di kirim lebih bagus pakai jt atau jne untuk metode bayar ditempat nya,negatif
setelah lebih dari tahun pakai tokopedia tapi makin kesini tokopedia makin bikin illfeel makin banyak penjual yang jualan barang tidak sesuai dengan deskripsi barang jelek masih saja dijual jadinya akhir ini berasa seperti kena tipu melulu belanja lewat tokopedia setelah x kecewa dengan produk penjual yang kualitasnya buruk tidak sesuai deskripsi udahlah sepertinya ini saatnya coba ecommerce lain tokopedia sepertinya sudah tidak sekredibel tokopedia yang dulu bikin kapok lah sekarang bye,negatif
penanganan lambat dan tidak membantu sama sekali tokopediacare juga tidak membantu bahkan merugikan buyer mengutungkan seller seller seller penipu kok gk bisa di blok kan aneh duit saya belum balik barang sudah refund belum juga di balikan gantinya tapi uang sudah di transfer ke penjual cmn hari buat cek barangnya dan secara otomatis uang ditransfer ke penjual padahal barang baru sampai dan terkendala hari raya idul adha baru bisa cek beda sama toko orange bisa perpanjang masa garansi,negatif
saya baru pertama kali belanja di tokped karena buku guru gembul baru ada di tokped kemudian saya tambahkan hitam lagi biar sekalian setelah bayar transaksi langsung batal karena saya pakai promo nya setelah tidak pakai promo nya ternyata bisa pengalaman pertama yang buruk sih,negatif
saya pengguna baru sewaktu pakai voucher bahkan tiba dicancel oleh sistem dan ga bisa dipakai lagi lebih baik dr awal ga perlu dikasih disangka melanggar ketentuan juga ga dijelaskan rinci salahnya dimana belum tentu juga melanggar kalau emang ada sesuatu kan bisa dikasih tahu sebelum checkout bukan bahkan sudah effort co bahkan batal tiba masih banyak keluhan lain tapi ga ckup benahin deh banyak juga tuh dilihat yang ngeluh tentang ini lebih baik aplikasi sebelah sistemnya lebih oke terkait ini,negatif
tokopedia sebenernya bagus banget cuma kurang di ekspedisi saja yang sangat amat buruk sering banget pesanan nyangkut di ekspedisi sampai hari bahkan sering pesanan tidak dikirim bahkan dibatalkan sepihak dengan alasan gagal dikirim bukan atau x ditmbh masih banyak oknum penipu yang menjual barang tidak sesuai yang dipajang di aplikasi,negatif
kenapa iya makin kesini tokopedia makin ribetngasih promo diskondll namun saat digunakan transaksi kita dibatalkan otamatis sistem yang katanya melanggar syarat ketentuan dan skrg ga bisa pakai promo lagi alias diblocklalu saya transaksi tanpa menggunakan promo setelah pembayaran berhasil kemudian dibatalkan lagi oleh sistembbrp minggu kemudian coba akun suami untuk transaksi barang yang sama dan ternyata dibatalkan sistem lagi alasan indikasi penipuan sungguh aneh banget sistem tokopedia,negatif
sebenernya tokped bagus banyak promo tapi mau beli sering² di tokped mikir dulu soalnya barang sampai lama banget bisa sd hari dan saya lihat sabtu minggu barang tidak gerak seninnya baru di lanjut proses pengirimannya terkesan tertahan digudang ekspedisi beda dengan toko orange barang sampai cepat maksimal hari jarang sekali ada yang lama edit bintang karena ada promo pengiriman masih lama atau engga belum tahu nanti di update lagi,negatif
untuk promo okelah sering belanja di sini cuman saran saja biar pelanggan nyaman untuk pengiriman nya bisa agak di percepat lagi terlalu lama nunggu nya kalau sudah di perbaiki pengiriman nya akan saya ralat bintang nya jadi,positif
kirain saya doang yang komplen sama kurir rekomendasi gak taunya banyak banget yang jadi korban terlambat nyampe masa iya pengiriman dari tangerang ke rangkasbitung yang jaraknya ga sampai kamu kok hari pesanan gak nyampe kalau alasan gratis ongkos kirim tu di sopi juga gratis ongkos kirim pakai spx jombang jatim ke rangkasbitung banten hari nyampe barangnya program kurir rekomendasi yang sangat tidak direkomendasikan,negatif
apk aneh jujur dr aku pengguna online shop yaitu biru oren sm ijo yang paling parah inidiluar nalar banget pengiriman super duper lama kayak jaman dulu ajamasa pengiriman beda pulau hampir sebulan belum nyampe ga kaya apk sebelah yang super gercep tolong diperbaiki kedepannya mana gratis ongkirnya ga motong smpe harus bayar lagi ongkirnya kalau lebih dari ke,negatif
tolong tambahkan fitur transfer saldo tokopedia untuk antar akun silahkan kritik dan saran yang ada di playstore di sampaikan ke pihak internal tokopedia kritikan sudah di dapat tinggal sampaikan ke pihak internal langsung padahal sudah tahu masalahnya dimana kenapa user harus repot komplen x,negatif
dr pihak toko lumayan amanah dan mungkin terkait kebijakan tokopedianya akan tetapi pihak expedisi yang terlalu di bebaskan hingga sering aku alami pengiriman lamabat bahkan melebihi batas estimasi dan kenapa juga kita hanya dapatkan resi dari tokopedia bukan resi asli dari expedisi yang berdangkutan biar pembeli juga tahu akan lebih baiknya di cantumkan juga resi asli dari expedinya karena pembeli juga ada hak untuk mengetahui resi dari expedisi terkait,positif
sangat puas dengan tokopedia sangat komplit njerit gak kayak toko yang lain di pertahankan terus kalau ada bintang pasti kasih bintang seribu terima kasih tokopedia sangat membantu sekali cuman satu kekurangan ekspedisi lambat sekali deh itu saja,positif
cs toped sangat payah respon sangat lambat harus menunggu hampir jam juga tidak ada konfirmasi saat bertanyatdk seperti cs belanja online lainnya gercep jadi buat apa ada cs pengiriman retur ribet aplikasi belanja lain mudah prosedurnya dan free ongkos kirim,negatif
tanpa ada kejelasan pesanan di batalkan sepihak oleh tokopediadi karenakan ada indikasi kecurangan aneh banget krna dpat toko yang lebih murah dan kebetulan kota yang samasudah di indikasi kecurangan harusnya kan bisa di chek di histori pemebeliandmn saja dan brpa banyak yang sering di belanjakan kalau gak mau kasih diskon gak perlu sok kasih promo lebih enak di toko orange sebelah mah,negatif
barang memang murah tapi rekomendasi ekspedisi nya yang buruk contohnya seperti id express dan sapx banyak barang yang tidak sampai dan hilang entah kemana padahal sudah dibayar dan juga tolong hilangkan fitur rekomendasi kurir karena banyak ekspedisi yang bobrok dan gak jelas,negatif
layanan bagus cuman kalau bisa layanan kurir rekomendasi jangan ikutkan sapx soalnya selalu paket yang dibawa kurir sapx keterangan paket sampai padahal belum kalau sudah gitu penyelesaian komplain lama akhirnya pembeli yang segera membutuhkan barangnya harus menunggu lagi berhari hari saran saya jangan lagi kerjasama dengan sapx kurir yang manipulasi data pengiriman itu sudah termasuk pelanggaran berat,negatif
tokopedia harga barang jauh lebih murah banyak promo dan diskon banyak pilihan transaksi pembayaran cuma yang saya tidak suka setiap saya melakukan pembelian selalu saja di batalkan otomatis oleh sistem tokopedia sudah saya coba semua metode pembayaran tampa menggunakan promo tetep saja di batalkan otomatis sistem tolong lebih di tingkatkan lagi sistemnya,negatif
bulan ini saya belanja x di tokopedia barang tidak pernah sampai padahal status pengiriman yang status diterima ybs yang nya kurir akan antar ke pembeli tapi sampai skrg barang smskli tidak sampai uang dan koin tidak kembali ke saya padahal sdh ajuin komplain tapi ga ada tindak lanjut dr tokopedia dari berminggu status hanya tunggu konfirmasi kurir,negatif
saya member gold tokopedia sebelumnya saya suka pakai tokopedia karena barang yang saya cari muncul secara akurat antara keyword dan halaman yang muncul sekarang ini sangat berbeda jauh saya masukkan key word a yang keluar barang xyz ditambah ketumpuk iklan yang g ada ujung mohon tokped dibetulkan supaya saya nyaman belanjanya sementara saya pindah toko dulu iya terimakasih banyaaak,positif
fitur putar otomatis gambar product g berguna saya lagi lihat photo produk eh bahkan ganti ke gambar ke dua sebaiknya ada setelan untuk itu toped lebih bisa dipercaya trus fast respon banget klu kita punya kendala atau masalah dengan seller saya sering belanja di tokopedia alhamdulillah selalu memuaskan,positif
penanganan nya amat sangat kurang bagus sudah bulan lebih paket saya hilang dan dana belum di refund dengan nominal lumayan besar di tanya perkembangan nya tidak jelas lebih baik tutup saja ini aplikasi mengecewakan dari seler nya pun tidak ada kejelasan setiap di tanya menghindar kapok banget pakai tokopedia tidak terpercaya,negatif
untuk update proses di kurir nya selalu lama kadang shipmen masalah untuk pengiriman juga sampainya gak sesuai tapi suka di toped karena banyak promo dan cashback,positif
kurir rekomendasi tokped yang dulu sama yang sekarang jauh banget berbeda kalau kurir rekomendasi tokped yang dulu begitu barang sudah sampai dikota tujuan langsung dikirim sebelum estimasi tiba habis bahkan dari kurir pasti konfirmasi ulang by wa kepada customer pada saat proses pengiriman kealamat customer untuk yang sekarang tidak ada konfirmasi apapun bahkan melebihi batas waktu estimasi tiba sudah mengajukan komplain tapi harus nunggu hari lagi untuk proses investigasi membosankan,negatif
kurir rekomendasi sangat sangat busuk paket tidak sampai dan saya belum terima barangnya tapi distatus pengiriman sudah sampai bukti foto pengiriman juga tidak failid masak gambarnya cuma warna putih polos msih bagusan toko orange auto uninstal,negatif
dulu sih pantas bintang sekarang sejak ada kurir recomendasi bahkan performa anjlok pengiriman ga jalan bukan apa tapi namanya recomendasi itu kurir yang bagus bukan yang lambat ini sih bikin tokped bahkan jadi buruk kalah sama aplikasi sebelah maaf setelah ini unistall dahlah,negatif
pengiriman nya cepat tapi kenapa iya kalau dapat voucher potongan harga terus kita sudah bayar suka dibatalkan sistem pas saya mau beli lagi sudah tidak ada voucher nya tolong dong tokopedia jangan suka dibatalin sudah gitu uangnya ke koin yang tidak bisa dipakai ketika mau pakai pembayaran bayar ditempat,negatif
sistem tokopedia sangat buruk pengembalian dana gak sesuai kalau retur barang dana terpotong padahal yang salah toko tempat beli seharusnya yang di potong tokonya buka pembelinya karena yang salah toko nya yang paling buruknya lagi saya sudah tf pembayaran tapi toko nya suruh batalin karena alasan ganguan sistem di expedisinya dan di suruh beli ulang itu juga terkena potongan,negatif
kecewa dengan layanan tokopedia tibatiba akun saya tidak bisa menggunakan pembayaran dengan saldo gopaylater sering sekali terjadi seperti ini padahal saya tidak pernah terlambat bayar tagihan dan setiap kita komplain ke tokopedia care tidak ada solusi atau pun bantuan dm ig ny pun no respon,negatif
saya termasuk pengguna lama toped kemudian tertarik menggunakan gopaylater baru pemakaian kali dengan metode cicilan bulan dan pelunasan tagihan juga tidak pernah terlewat jatuh tempo setelah lunas dan mau menggunakan paylater lagi ternyata sudah tidak bisa dikarenakan akun gopaylayer terblokir bagaimana ceritanya baru dipake sekali cicilan bulan dan pembayaran tagihan tidak pernah terlambat tiba terblokir tanpa memberitahukan kenapa bisa terblokir,positif
yah namanya free ongkos kirim mau bagaimana lagi kolaborasi kurir rekomendasi dengan id express yang pengirimannya sangat lamaaaa kalau bisa lebih lama lagi pengiriman paketnya oleh kurir hari dibawa kurir ga dikirim kirim kerumah mantap lah lanjutkan siap siap coba e commerce lain saja ah,positif
sudah pesan barang selesai pembayaran tiba tiba di batalkan sistem dengan alasan akun tidak sesuai sk promo padahal ada tulisan promo khusus pengguna baru di coba lagi sudah gak ada promo gratis ongkirnya,negatif
